64	48	68	61	36
51	40	57	52	34
46	48	50	50	41
40	50	52	52	33
55	60	54	45	36
54	44	52	53	33
52	44	41	63	44
48	45	38	60	41
44	50	43	50	47
53	57	40	45	51
55	58	64	50	49
56	58	51	58	51
56	60	48	61	58
54	61	50	55	47
49	64	51	58	47
48	62	53	53	42
50	57	49	64	38
56	51	55	64	39
52	45	60	54	49
60	51	64	58	54
64	52	59	67	59
64	52	57	66	52
62	54	50	57	58
57	50	58	50	65
55	53	51	52	56
59	58	45	68	53
56	64	59	72	60
53	65	58	59	61
57	65	55	46	58
57	62	58	52	56
46	55	59	61	47
51	50	57	65	44
54	59	62	63	49
61	61	72	60	59
65	63	69	65	65
65	58	68	75	65
65	52	67	66	68
54	59	57	61	64
55	60	58	62	70
61	55	66	66	70
63	54	71	57	68
64	61	72	55	68
63	64	72	65	67
59	63	65	66	66
54	65	60	65	66
58	69	63	65	67
64	64	59	70	67
64	70	64	69	68
66	70	68	62	69
69	69	68	68	62
68	64	74	68	57
66	67	75	69	64
72	66	75	70	70
57	67	71	66	69
51	66	75	71	53
57	66	76	70	55
50	59	75	70	66
55	56	68	69	66
63	62	70	70	66
67	63	71	68	68
68	56	69	63	65
66	51	62	66	65
61	57	65	66	59
55	63	69	60	67
55	66	60	63	60
60	71	54	53	55
58	67	52	55	56
60	70	59	52	60
65	68	65	54	67
62	69	65	59	73
55	65	69	59	72
59	65	70	64	68
67	66	68	69	58
70	67	70	69	58
69	65	73	68	69
67	55	73	65	74
64	59	73	68	70
62	74	75	69	70
57	72	74	68	64
65	67	70	64	60
67	63	61	59	58
60	67	58	57	57
63	67	63	56	60
58	69	70	62	59
63	66	74	71	67
60	65	68	72	68
64	66	66	71	71
68	69	64	74	72
70	61	56	71	65
59	67	62	69	64
52	61	63	71	63
51	49	70	72	66
57	64	63	67	64
56	68	60	64	60
55	67	59	62	59
62	66	63	60	64
65	68	66	58	64
66	67	63	60	61
61	68	61	65	55
58	63	68	66	52
55	68	62	66	52
56	66	67	64	64
66	66	69	62	70
65	59	68	62	71
67	60	65	62	68
66	56	66	50	67
61	60	61	49	72
52	65	61	54	66
45	55	71	53	62
48	54	58	57	63
51	54	51	61	72
54	50	51	60	71
61	64	50	61	71
64	64	55	60	69
67	69	56	63	69
66	65	59	65	70
66	70	66	70	66
68	74	68	67	61
67	69	70	67	53
69	64	66	67	48
68	60	55	72	58
68	56	49	73	66
56	62	45	60	62
48	62	50	55	67
49	54	53	51	67
52	48	60	55	68
56	47	51	49	62
61	65	55	53	54
61	60	59	58	59
64	64	60	65	56
60	58	64	50	47
61	48	69	40	52
53	50	69	43	63
51	50	54	46	60
48	44	52	52	58
51	48	62	49	61
55	51	58	61	63
65	57	52	59	65
65	63	45	56	59
62	52	51	48	52
57	45	46	40	46
47	55	41	46	46
37	58	42	50	48
35	58	45	61	62
37	49	46	60	53
55	41	47	56	52
56	38	52	42	60
56	45	57	59	68
57	58	57	62	65
54	55	59	59	67
57	62	45	52	66
50	64	37	63	69
41	64	42	57	68
34	56	42	48	59
38	47	35	40	48
52	40	27	37	39
52	31	30	35	42
50	34	41	38	53
50	35	43	40	59
47	38	44	52	62
48	46	41	53	67
38	48	56	45	66
50	48	54	43	49
50	48	38	44	41
48	51	34	46	39
51	50	40	42	38
56	43	40	47	37
54	39	40	49	37
50	50	27	52	32
45	61	20	51	35
56	60	27	52	37
50	42	33	50	38
47	37	38	43	38
44	44	39	44	45
37	50	44	39	55
50	40	45	52	40
61	33	32	42	32
58	45	26	38	36
57	35	29	28	30
59	33	45	35	27
62	23	51	40	27
47	12	51	41	24
37	18	33	49	27
33	24	25	37	32
30	26	38	30	33
40	28	38	25	32
49	22	27	22	34
51	26	32	31	35
31	36	42	30	38
28	38	31	26	37
21	46	24	34	33
21	50	28	33	38
31	46	33	24	34
31	44	40	36	45
45	32	47	43	37
39	26	51	41	39
31	19	52	40	42
29	17	54	44	55
44	21	42	45	50
22	23	35	52	40
19	42	33	47	38
24	38	34	40	33
14	27	37	39	36
5	27	33	36	33
0	31	47	30	32
17	26	33	29	32
25	26	24	28	32
23	29	17	22	37
24	33	17	24	29
26	35	20	26	23
27	40	23	23	34
40	42	31	25	25
28	39	32	39	26
22	37	34	43	29
25	43	34	34	27
35	54	27	35	21
14	42	40	28	15
15	32	46	34	19
16	30	50	36	29
24	29	33	32	25
19	19	30	29	23
15	19	31	27	33
24	22	20	24	32
26	-2	19	29	32
15	-6	21	23	30
11	5	22	9	30
7	7	30	3	32
6	5	35	0	29
8	25	33	12	22
18	16	40	34	18
16	12	35	34	18
24	29	36	25	13
20	21	38	12	24
21	33	35	10	28
17	23	28	20	30
8	14	25	26	35
3	22	21	21	43
8	39	14	36	36
21	48	23	33	34
22	51	35	25	31
14	38	33	23	28
